,Nuclide,half_life,Type,f_1,1_mu_amad,5_mu_amad,f_1,e_ing_50
0,Mg-27,9.462 m,F,0.5,7.7e-12,1.3e-11,0.5,2.1e-11
0,Mg-27,9.462 m,M,0.5,1.1e-11,1.8e-11,,
1,Al-28,2.2414 m,F,0.01,3.2e-12,5.3e-12,0.01,9.9E-12
2,Al-28,2.2414 m,M,0.01,3.6e-12,6e-12,,
3,Al-29,6.56 m,F,0.01,6.9e-12,1.2e-11,0.01,2.1E-11
4,Al-29,6.56 m,M,0.01,9.1e-12,1.5e-11,,
5,P-30,2.498 m,F,0.8,3.4e-12,5.5e-12,0.8,1.2E-11
6,P-30,2.498 m,M,0.8,3.9e-12,6.3e-12,,
7,P-30,2.498 m,S,0.8,3.9e-12,6.4e-12,,
8,S-37_inorg,5.05 m,F,0.8,6.4e-12,1.1e-11,0.8,1.6E-11
9,S-37_inorg,5.05 m,M,0.8,7.9e-12,1.4e-11,0.1,1.6E-11
10,S-37_org,5.05 m,V,0,1.1E-11,1.1E-11,1.0,1.5e-11
11,S-38_inorg,170.3 m,F,0.8,1.4e-10,2.4e-10,0.8,4.3E-10
12,S-38_inorg,170.3 m,M,0.8,2.5e-10,3.6e-10,0.1,6.4E-10
13,S-38_org,170.3 m,V,0,2.OE-10,2.OE-10,1.0,2.7e-10
14,Cl-34m,32.00 m,F,1.0,2.9e-11,5.1e-11,1.0,1.0E-10
15,Cl-34m,32.00 m,M,1.0,4.6e-11,7.5e-11,,
16,Cl-40,1.35 m,F,1.0,2.6e-12,4.4e-12,1.0,8.5E-12
17,Cl-40,1.35 m,M,1.0,2.8e-12,4.8e-12,,
18,K-38,7.636 m,F,1.0,1e-11,1.8e-11,1.0,3.3E-11
19,Ca-49,8.718 m,M,0.3,1.8e-11,3e-11,0.3,3.9E-11
20,Ti-51,5.76 m,F,0.01,5.1e-12,8.5e-12,0.01,1.5E-11
21,Ti-51,5.76 m,M,0.01,6.8e-12,1.1e-11,,
22,Ti-51,5.76 m,S,0.01,6.9e-12,1.1e-11,,
23,V-50,1.5E+17 y,F,0.01,8.4e-08,9.9e-08,0.01,4.2E-09
24,V-50,1.5E+17 y,M,0.01,3.5e-08,2.5e-08,,
25,V-52,3.743 m,F,0.01,4.6e-12,7.7e-12,0.01,1.4E-11
26,V-52,3.743 m,M,0.01,5.6e-12,9.3e-12,,
27,V-53,1.61 m,F,0.01,2.1e-12,3.5e-12,0.01,5.7E-12
28,V-53,1.61 m,M,0.01,2.3e-12,3.9e-12,,
29,Cr-55,3.497 m,F,0.1,3.4e-12,5.6e-12,0.1,1.2E-11
30,Cr-55,3.497 m,M,0.1,4.2e-12,6.8e-12,0.01,1.2E-11
31,Cr-55,3.497 m,S,0.1,4.3e-12,6.9e-12,,
32,Cr-56,5.94 m,F,0.1,7.3e-12,1.3e-11,0.1,2.1E-11
33,Cr-56,5.94 m,M,0.1,1.1e-11,1.8e-11,0.01,2.1E-11
34,Cr-56,5.94 m,S,0.1,1.1e-11,1.8e-11,,
35,Mn-57,1.42333 m,F,0.1,1.6e-12,2.7e-12,0.1,5.1E-12
36,Mn-57,1.42333 m,M,0.1,1.8e-12,3e-12,,
37,Mn-58m,1.08666 m,F,0.1,1.9e-12,3.2e-12,0.1,7.0E-12
38,Mn-58m,1.08666 m,M,0.1,2.1e-12,3.4e-12,,
39,Fe-53,8.51 m,F,0.1,8.6e-12,1.4e-11,0.1,3.0E-11
40,Fe-53,8.51 m,M,0.1,1.2e-11,1.9e-11,,
41,Co-62,1.50 m,M,0.1,2.5e-12,4.1e-12,0.1,8.6E-12
42,Co-62,1.50 m,S,0.05,2.5e-12,4.2e-12,0.05,8.6E-12
43,Cu-62,9.74 m,F,0.5,9.5e-12,1.6e-11,0.5,3.7E-11
44,Cu-62,9.74 m,M,0.5,1.3e-11,2.2e-11,,
45,Cu-62,9.74 m,S,0.5,1.4e-11,2.3e-11,,
46,Cu-66,5.088 m,F,0.5,4.6e-12,7.5e-12,0.5,1.6E-11
47,Cu-66,5.088 m,M,0.5,6e-12,9.8e-12,,
48,Cu-66,5.088 m,S,0.5,6.2e-12,1e-11,,
49,As-68,2.52666 m,M,0.5,5.9e-12,9.6e-12,0.5,1.9E-11
50,As-79,9.01 m,M,0.5,1.3e-11,2.1e-11,0.5,2.4E-11
51,Se-71,4.74 m,F,0.8,6.4e-12,1.1e-11,0.8,2.3E-11
52,Se-71,4.74 m,M,0.8,8.2e-12,1.3e-11,0.05,2.3E-11
53,Se-72,8.40 d,F,0.8,2e-09,2.8e-09,0.8,5.1E-09
54,Se-72,8.40 d,M,0.8,3.6e-09,3.9e-09,0.05,2.6E-09
55,Se-79m,3.92 m,F,0.8,1.9e-12,3.2e-12,0.8,1.0E-12
56,Se-79m,3.92 m,M,0.8,2.4e-12,4e-12,0.05,1.0E-12
57,Br-77m,4.28 m,F,1.0,2.6e-12,4.3e-12,1.0,1.3E-12
58,Br-77m,4.28 m,M,1.0,3.3e-12,5.5e-12,,
59,Br-78,6.46 m,F,1.0,6.4e-12,1.1e-11,1.0,2.1E-11
60,Br-78,6.46 m,M,1.0,8.4e-12,1.4e-11,,
61,Br-82m,6.13 m,F,1.0,1.5e-12,2.4e-12,1.0,2.8E-12
62,Br-82m,6.13 m,M,1.0,2.3e-12,3.3e-12,,
63,Br-84m,6.0 m,F,1.0,7.9e-12,1.4e-11,1.0,2.1E-11
64,Br-84m,6.0 m,M,1.0,1e-11,1.7e-11,,
65,Rb-77,3.77 m,F,1.0,6.9e-12,1.1e-11,1.0,2.6E-11
66,Rb-78,17.66 m,F,1.0,2.1e-11,3.7e-11,1.0,7.0E-11
67,Rb-82,1.273 m,F,1.0,1.8e-12,2.9e-12,1.0,6.3E-12
68,Rb-84m,20.26 m,F,1.0,5.1e-12,8.9e-12,1.0,7.1E-12
69,Rb-86m,1.017 m,F,1.0,1.9e-13,3.3e-13,1.0,3.3E-13
70,Rb-90,2.63333 m,F,1.0,4.2e-12,6.8e-12,1.0,1.8E-11
71,Rb-90m,4.3 m,F,1.0,6.9e-12,6.9e-12,1.0,2.3E-11
72,Y-83,7.08 m,M,0.0001,1.2e-11,1.9e-11,0.0001,3.2E-11
73,Y-83,7.08 m,S,0.0001,1.2e-11,2e-11,,
74,Y-83m,2.85 m,M,0.0001,5.2e-12,8.4e-12,0.0001,1.4E-11
75,Y-83m,2.85 m,S,0.0001,5.3e-12,8.6e-12,,
76,Y-84m,40 m,M,0.0001,6e-11,1e-10,0.0001,1.2E-10
77,Y-84m,40 m,S,0.0001,6.2e-11,1e-10,,
78,Y-85,2.68 h,M,0.0001,9.8e-11,1.5e-10,0.0001,1.9E-10
79,Y-85,2.68 h,S,0.0001,9.9e-11,1.6e-10,,
