,Nuclide,half_life,unit,Type,f_1,dcf_1muAMAD,dcf_5muAMAD,f1_ing,dcf_ingestion
415,Ir-183,58,m,F,0.01,2.3e-11,4.2e-11,0.01,5.5e-11
416,M,0.01,3.9E-11,6.2E-11,,,,,
417,S,0.01,4.1E-11,6.4E-11,,,,,
418,Ir-196m,1.40,h,F,0.01,5.4e-11,9.7e-11,0.01,1.3e-10
419,M,0.01,9.5E-11,1.5E-10,,,,,
420,S,0.01,9.9E-11,1.6E-10,,,,,
421,Pt-183,6.5,m,F,0.01,7.6e-12,1.3e-11,0.01,1.8e-11
422,Pt-184,17.3,m,F,0.01,1.5e-11,2.6e-11,0.01,3e-11
423,Pt-187,2.35,h,F,0.01,3.3e-11,6e-11,0.01,8.8e-11
424,Pt-190,6.5E+1,y,F,0.01,1.1e-07,1e-07,0.01,6.8e-09
425,Pt-202,44,h,F,0.01,8.6e-10,1.4e-09,0.01,4.5e-09
426,Au-186,10.7,m,F,0.1,1.4e-11,2.5e-11,0.1,4.6e-11
427,M,0.1,2.1E-11,3.4E-11,,,,,
428,S,0.1,2.2E-11,3.5E-11,,,,,
429,Au-187,8.4,m,F,0.1,4.8e-12,8.6e-12,0.1,1.1e-11
430,M,0.1,7.8E-12,1.2E-11,,,,,
431,S,0.1,8.1E-12,1.3E-11,,,,,
432,Au-188,8.84,m,F,0.1,6.8e-12,1.2e-11,0.1,2.1e-11
433,M,0.1,9.8E-12,1.6E-11,,,,,
434,S,0.1,1.0E-11,1.6E-11,,,,,
435,Au-189m,4.59,m,F,0.1,2.6e-12,4.5e-12,0.1,3.6e-12
436,M,0.1,3.9E-12,6.2E-12,,,,,
437,S,0.1,4.0E-12,6.4E-12,,,,,
438,Au-190,42.8,mn,F,0.1,1.9e-11,3.4e-11,0.1,4.7e-11
439,M,0.1,2.6E-11,4.5E-11,,,,,
440,S,0.1,2.7E-11,4.6E-11,,,,,
441,Au-191,3.18,h,F,0.1,2.9e-11,5.4e-11,0.1,7.7e-11
442,M,0.1,6.4E-11,9.2E-11,,,,,
443,S,0.1,6.9E-11,9.7E-11,,,,,
444,Au-192,4.94,h,F,0.1,7.2e-11,1.4e-10,0.1,1.8e-10
445,M,0.1,9.8E-11,1.7E-10,,,,,
446,S,0.1,1.0E-10,1.7E-10,,,,,
447,Au-196,6.183,d,F,0.1,1.5e-10,2.7e-10,0.1,5.3e-10
448,M,0.1,6.0E-10,6.7E-10,,,,,
449,S,0.1,6.7E-10,7.3E-10,,,,,
450,Au-196m,9.6,h,F,0.1,1.2e-10,2e-10,0.1,4.1e-10
451,M,0.1,4.2E-10,5.7E-10,,,,,
452,S,0.1,4.6E-10,6.1E-10,,,,,
453,Hg-187,2.2,m,F,0.02,3.8e-12,6.4e-12,0.02,7.2e-12
454,(inorganic),M,0.02,4.5E-12,7.6e-12,,,,
455,Hg-187,2.2,m,F,0.4,3.8e-12,6.4e-12,1.0,7.1e-12
456,(organic),0.4,7.2E-12,,,,,,
457,Hg-187m,2.4,m,F,0.02,4.3e-12,7.4e-12,0.02,7.3e-12
458,(inorganic),M,0.02,5.2E-12,8.8e-12,,,,
459,Hg-187m,2.4,m,F,0.4,4.3e-12,7.4e-12,1.0,7.3e-12
460,(organic),0.4,7.3E-12,,,,,,
461,Hg-188,3.25,m,F,0.02,3.1e-12,5.2e-12,0.02,8.2e-12
462,(inorganic),M,0.02,4.4E-12,7.1e-12,,,,
463,Hg-188,3.25,m,F,0.4,3.1e-12,5.3e-12,1.0,8.4e-12
464,(organic),0.4,8.4E-12,,,,,,
465,Hg-190,20.0,m,F,0.02,9.9e-12,1.8e-12,0.02,2.5e-12
466,(inorganic),M,0.02,1.5E-12,2.5e-12,,,,
467,Hg-190,20.0,m,F,0.4,9.8e-12,1.8e-12,1.0,1.8e-12
468,(organic),0.4,2.4E-12,,,,,,
469,Hg-191,50.8,m,F,0.02,2.4e-12,4.5e-12,0.02,5.5e-12
470,(inorganic),M,0.02,4.3E-12,6.8e-12,,,,
471,Hg-191,50.8,m,F,0.4,2.4e-12,4.4e-12,1.0,3.4e-12
472,(organic),0.4,5.0E-12,,,,,,
473,Hg-192,4.85,h,F,0.02,8e-12,1.5e-12,0.02,2.3e-12
474,(inorganic),M,0.02,1.0E-12,2.1e-12,,,,
475,Hg-192,4.85,h,F,0.4,7.3e-12,1.4e-12,1.0,7.2e-12
476,(organic),0.4,1.8E-12,,,,,,
477,Hg-205,5.2,m,F,0.02,3.9e-12,6.6e-12,0.02,8.3e-12
478,(inorganic),M,0.02,5.2E-12,8.7e-12,,,,
479,Hg-205,5.2,m,F,0.4,3.9e-12,6.7e-12,1.0,8.4e-12
480,(organic),0.4,8.3E-12,,,,,,
481,Hg-206,8.15,m,F,0.02,9.4e-12,1.6e-12,0.02,2.1e-12
482,(inorganic),M,0.02,1.5E-12,2.4e-12,,,,
483,Hg-206,8.15,m,F,0.4,9.5e-12,1.6e-12,1.0,2.1e-12
484,(organic),0.4,2.1E-12,,,,,,
485,Tl-190,2.6,m,F,1.0,4e-12,6.7e-12,1.0,1.5e-11
486,Tl-190m,3.7,m,F,1.0,5.3e-12,9.3e-12,1.0,1.4e-11
487,Tl-196,1.84,h,F,1.0,3.1e-11,5.7e-11,1.0,5.4e-11
488,Tl-206,4.199,m,F,1.0,3.4e-12,5.7e-12,1.0,6.9e-12
489,Tl-206m,3.74,m,F,1.0,6.5e-12,6.5e-12,1.0,1.1e-11
490,Tl-207,4.77,m,F,1.0,3.6e-12,1e-12,1.0,7.1e-12
491,Tl-208,3.053,m,F,1.0,4.8e-12,8.4e-12,1.0,8.6e-12
492,Tl-209,2.161,m,F,1.0,3.4e-12,5.8e-12,1.0,6.4e-12
493,Tl-210,1.30,m,F,1.0,2.8e-12,4.8e-12,1.0,6.5e-12
494,Pb-194,12.0,m,F,0.2,8.6e-12,1.5e-11,0.2,2e-11
495,Pb-196,37,m,F,0.2,1.7e-11,3.1e-11,0.2,2.8e-11
496,Pb-197,8,m,F,0.2,3e-12,6.8e-12,0.2,6.6e-12
497,Pb-197m,43,m,F,0.2,2.6e-11,4.6e-11,0.2,4.5e-11
498,Pb-204m,67.2,m,F,0.2,2.3e-11,4.4e-11,0.2,5e-11
499,Bi-197,9.33,m,F,0.05,1e-11,1.8e-11,0.05,2.4e-11
500,M,0.05,1.5E-11,2.5E-11,,,,,
501,Bi-204,11.22,h,F,0.05,2.7e-10,4.8e-10,0.05,6.1e-10
502,M,0.05,3.5E-1,0,5.8e-10,,,,
503,Bi-208,3.68E+5,y,F,0.05,5.9e-10,9.6e-10,0.05,1.2e-09
504,M,0.05,4.4E-09,2.9E-09,,,,,
505,Bi-211,2.14,m,F,0.05,1e-09,1.5e-09,0.05,1.2e-11
506,M,0.05,1.2E-09,1.8E-09,,,,,
507,Bi-215,7.6,m,F,0.05,4.8e-09,7.6e-09,0.05,8e-11
508,M,0.05,8.6E-09,1.3E-08,,,,,
509,Po-204,3.53,h,F,0.1,1.4e-10,1.4e-10,0.1,3.1e-10
510,M,0.1,3.8E-10,3.8E-10,,,,,
511,Po-206,8.8,d,F,0.1,8.3e-09,1e-08,0.1,4.6e-09
512,M,0.1,5.2E-08,3.9E-08,,,,,
513,Po-208,2.898,y,F,0.1,7.6e-07,9.1e-07,0.1,3.1e-07
514,M,0.1,3.5E-06,2.6E-06,,,,,
515,Po-209,102,y,F,0.1,7.6e-07,9.1e-07,0.1,3e-07
516,M,0.1,3.4E-06,2.5E-06,,,,,
517,Po-218,3.10,m,F,0.1,9.6e-10,1.3e-09,0.1,2.8e-11
518,M,0.1,2.2E-09,2.9E-09,,,,,
519,At-205,26.2,m,F,1.0,2.2e-10,2.9e-10,1.0,7.7e-11
520,M,1,6.2E-10,6.7E-10,,,,,
521,At-208,1.63,h,F,1.0,7.1e-11,1.2e-10,1.0,9.4e-11
522,M,1,3.8E-1,0,3.7e-10,,,,
523,At-209,5.41,h,F,1.0,8.9e-10,1.3e-09,1.0,1.9e-09
524,M,1,2.8E-09,2.7E-09,,,,,
525,At-210,8.1,h,F,1.0,3e-09,5.1e-09,1.0,9.8e-09
526,M,1,9.8E-09,9.6E-09,,,,,
527,Fr-212,20.0,m,F,1.0,2.1e-09,2.8e-09,1.0,7.1e-10
528,Fr-221,4.9,m,F,1.0,5.1e-09,7.7e-09,1.0,1.7e-10
529,Ra-230,93,m,M,0.2,1.1e-10,1.7e-10,0.2,1.9e-10
530,Ac-223,2.10,m,F,0.0005,6e-09,9.5e-09,0.0005,4.1e-11
531,M,0.0005,7.1E-09,1.0E-08,,,,,
532,S,0.0005,7.2E-09,1.1E-08,,,,,
533,Ac-229,62.7,m,F,0.0005,2.6e-11,3.8e-11,0.0005,4.4e-11
534,M,0.0005,3.6E-11,5.3E-11,,,,,
535,S,0.0005,3.5E-11,5.4E-11,,,,,
536,Ac-230,2.03333,m,F,0.0005,2.4e-12,4e-12,0.0005,5.7e-12
537,M,0.0005,2.7E-12,4.5E-12,,,,,
538,S,0.0005,2.7E-12,4.6E-12,,,,,
539,Th-233,22.3,m,M,0.0005,1.8e-11,2.7e-11,0.0005,2.2e-11
540,S,0.0002,1.9E-11,2.9E-11,0.0002,2.2e-11,,,
541,Pa-229,1.50,d,M,0.0005,5.9e-09,4.8e-09,0.0005,2.2e-10
542,S,0.0005,6.7E-09,5.5E-09,,,,,
543,Pa-234m,1.17,m,M,0.0005,1.4e-12,2.4e-12,0.0005,3.1e-12
544,S,0.0005,1.4E-12,2.4E-12,,,,,
545,Pa-236,9.1,m,M,0.0005,1.2e-11,2e-11,0.0005,2.3e-11
546,S,0.0005,1.3E-11,2.1E-11,,,,,
547,U-228,9.1,m,F,0.02,2.4e-08,3.8e-08,0.02,1.9e-10
548,M,0.02,3.7E-08,5.7E-08,0.002,1.9e-10,,,
549,S,0.002,3.8E-08,5.9E-08,,,,,
550,Np-231,48.8,m,M,0.0005,1.6e-09,1.7e-09,0.0005,2.9e-11
551,Np-240m,7.22,m,M,0.0005,1.7e-09,1.3e-11,0.0005,2.9e-11
552,Np-241,13.9,m,M,0.0005,1.4e-11,2.2e-11,0.0005,1.8e-11
553,Pu-232,34.1,m,M,0.0005,1.8e-08,2.4e-08,0.0005,2.9e-10
554,S,0.00001,1.9E-08,2.5E-08,1e-05,2.8e-10,,,
555,S,0.00001,1.9E-08,2.5E-08,0.0001,1.3e-10,,,
556,Am-247,23.0,m,M,0.0005,2.7e-11,4.4e-11,0.0005,3.1e-11
557,Cm-239,2.9,h,M,0.0005,6.4e-11,8.8e-11,0.0005,8.2e-11
558,Bk-244,4.35,h,M,0.0005,1e-09,1e-09,0.0005,6.9e-10
559,Bk-248m,23.7,h,M,0.0005,1.5e-08,1.2e-08,0.0005,3e-09
560,Bk-251,55.6,m,M,0.0005,4.3e-11,6.4e-11,0.0005,4.4e-11
561,Cf-247,3.1,h,M,0.0005,4.2e-11,4.9e-11,0.0005,2.9e-11
562,Cf-255,85,m,M,0.0005,5.4e-09,4.5e-09,0.0005,4e-11
563,Cf-256,12.3,m,M,0.0005,2.1e-06,4e-06,0.0005,3e-09
564,Es-249,102.2,m,M,0.0005,2.2e-10,2.7e-10,0.0005,2.2e-11
565,Es-255,39.8,d,M,0.0005,3.6e-06,2.9e-06,0.0005,6e-09
566,Es-256,25.4,m,M,0.0005,2.1e-07,3.4e-07,0.0005,4.1e-09
567,Fm-251,5.30,h,M,0.0005,1.7e-09,1.8e-09,0.0005,7.2e-11
568,Fm-256,157.6,m,M,0.0005,3.9e-06,7e-06,0.0005,2.6e-08
